currentDate,npcIndex,firstName,lastName,dob,age,gender,livingStatus,pregant,background,employer,gold,income,base_expense,saveRate,base_spend,luxury_spend
0,52,person,a-52,-9360,26.00,1,Healthy,0,rich,,24.00,2.27,2.10,0.2,,
0,53,person,a-53,-33840,94.00,0,Healthy,0,rich,,44.00,11.57,2.10,0.2,,
0,54,person,a-54,-2880,8.00,0,Healthy,0,rich,,44.00,2.02,2.10,0.2,,
0,55,person,a-55,-8640,24.00,1,Healthy,0,rich,,63.00,10.34,2.10,0.2,,
0,56,person,a-56,-10440,29.00,1,Healthy,0,rich,,22.00,3.37,2.10,0.2,,
0,57,person,a-57,-16920,47.00,0,Healthy,0,rich,,74.00,6.41,2.10,0.2,,
0,58,person,a-58,-15480,43.00,0,Healthy,0,rich,,91.00,5.95,2.10,0.2,,
0,59,person,a-59,-6480,18.00,1,Healthy,0,rich,,63.00,2.59,2.10,0.2,,
0,60,person,a-60,-21600,60.00,0,Healthy,0,rich,,21.00,6.02,2.10,0.2,,
0,61,person,a-61,-30600,85.00,0,Healthy,0,rich,,68.00,4.93,2.10,0.2,,
0,62,person,a-62,-14400,40.00,0,Healthy,0,rich,,5.00,5.91,2.10,0.2,,
0,63,person,a-63,-9000,25.00,0,Healthy,0,rich,,16.00,9.62,2.10,0.2,,
0,64,person,a-64,-23040,64.00,0,Healthy,0,rich,,14.00,2.20,2.10,0.2,,
0,65,person,a-65,-6840,19.00,1,Healthy,0,rich,,76.00,5.30,2.10,0.2,,
0,66,person,a-66,-16560,46.00,1,Healthy,0,rich,,57.00,3.65,2.10,0.2,,
0,67,person,a-67,-35640,99.00,1,Healthy,0,rich,,86.00,6.37,2.10,0.2,,
0,68,person,a-68,-15120,42.00,0,Healthy,0,rich,,11.00,5.47,2.10,0.2,,
0,69,person,a-69,-14400,40.00,1,Healthy,0,rich,,35.00,4.69,2.10,0.2,,
0,70,person,a-70,-15480,43.00,0,Healthy,0,rich,,85.00,4.34,2.10,0.2,,
0,71,person,a-71,-32400,90.00,1,Healthy,0,rich,,75.00,6.42,2.10,0.2,,
0,72,person,a-72,-20160,56.00,1,Healthy,0,rich,,74.00,4.90,2.10,0.2,,
0,73,person,a-73,-31680,88.00,1,Healthy,0,rich,,20.00,11.03,2.10,0.2,,
0,74,person,a-74,-33840,94.00,0,Healthy,0,rich,,64.00,6.77,2.10,0.2,,
0,75,person,a-75,-28440,79.00,0,Healthy,0,rich,,59.00,10.81,2.10,0.2,,
0,76,person,a-76,-11160,31.00,1,Healthy,0,rich,,42.00,10.41,2.10,0.2,,
0,77,person,a-77,-31680,88.00,0,Healthy,0,rich,,17.00,6.75,2.10,0.2,,
0,78,person,a-78,-18360,51.00,0,Healthy,0,rich,,78.00,10.78,2.10,0.2,,
0,79,person,a-79,-2160,6.00,1,Healthy,0,rich,,1.00,7.34,2.10,0.2,,
0,80,person,a-80,-20880,58.00,1,Healthy,0,rich,,29.00,4.43,2.10,0.2,,
0,81,person,a-81,-16200,45.00,0,Healthy,0,rich,,30.00,9.34,2.10,0.2,,
0,82,person,a-82,-3960,11.00,0,Healthy,0,rich,,43.00,11.21,2.10,0.2,,
0,83,person,a-83,-21960,61.00,0,Healthy,0,rich,,4.00,7.69,2.10,0.2,,
0,84,person,a-84,-28080,78.00,1,Healthy,0,rich,,5.00,11.60,2.10,0.2,,
0,85,person,a-85,-5040,14.00,1,Healthy,0,rich,,15.00,2.57,2.10,0.2,,
0,86,person,a-86,-20880,58.00,0,Healthy,0,rich,,77.00,9.62,2.10,0.2,,
0,87,person,a-87,-720,2.00,0,Healthy,0,rich,,3.00,8.11,2.10,0.2,,
0,88,person,a-88,-24480,68.00,1,Healthy,0,rich,,15.00,7.21,2.10,0.2,,
0,89,person,a-89,-19440,54.00,1,Healthy,0,rich,,19.00,4.95,2.10,0.2,,
0,90,person,a-90,-5760,16.00,1,Healthy,0,rich,,81.00,9.32,2.10,0.2,,
0,91,person,a-91,-22680,63.00,1,Healthy,0,rich,,51.00,3.25,2.10,0.2,,
0,92,person,a-92,-5040,14.00,1,Healthy,0,rich,,81.00,11.90,2.10,0.2,,
0,93,person,a-93,-34560,96.00,0,Healthy,0,rich,,4.00,6.43,2.10,0.2,,
0,94,person,a-94,-7920,22.00,0,Healthy,0,rich,,25.00,5.85,2.10,0.2,,
0,95,person,a-95,-10080,28.00,1,Healthy,0,rich,,14.00,2.94,2.10,0.2,,
0,96,person,a-96,-24480,68.00,0,Healthy,0,rich,,16.00,11.46,2.10,0.2,,
0,97,person,a-97,-32040,89.00,0,Healthy,0,rich,,86.00,8.98,2.10,0.2,,
0,98,person,a-98,-7920,22.00,1,Healthy,0,rich,,31.00,6.31,2.10,0.2,,
0,99,person,a-99,-10800,30.00,0,Healthy,0,rich,,39.00,2.65,2.10,0.2,,
